Post ID,Description,Publish time,Permalink,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves
18138627592555622,"Most people underestimate the things they have to say no to when building.

Everything you say yes to is saying no to the thing you say you want most.

So you have to say no until it hurts.

Then say no some more.

So you can take one yes all the way.",06/05/2026 9:47,https://www.instagram.com/reel/DZNh8EAutLG/,IG reel,1934,1656,32,3,4,0,7
17858739483648852,"Letting mediocre employees stay costs you more in four ways:

1) The money you pay them

2) The mistakes they make that cost you

3) The money you would’ve made by having a good employee in their place

4) The money you lose from winners by showing them mediocrity is tolerated",06/05/2026 9:39,https://www.instagram.com/reel/DZNhEqjusNl/,IG reel,42445,31450,453,265,46,4,165
18123384712654847,"When someone asks for a discount:

Add a bonus instead of lowering your price, then ask them to buy again.",06/05/2026 9:31,https://www.instagram.com/reel/DZNgK82u4oR/,IG reel,59890,48021,599,103,42,21,113
17893504551524759,"If you’re trying to start a business:

Just. Find. Shit. People. Already. Buy. And. Sell. It.

You can figure out passion purpose etc after you learn the basics.

Make a profit. Then get cute.

But you may realize you find you’re passionate about making a profit.

2 birds.",06/05/2026 7:18,https://www.instagram.com/reel/DZNRAU2OsFF/,IG reel,590085,414473,18418,5448,1255,155,9114
18101956445279719,"The two decisions that drive the most value in a company:

Pricing & People

And they also happen to be the two areas where founders give the most pushback.

Which is why they stay small.",06/05/2026 7:06,https://www.instagram.com/reel/DZNPfLSu23d/,IG reel,37391,27943,876,310,162,3,803
18086921639077770,"Everyone wants passive income.

No one wants to actively work for a decade to get it.

The “passive” part is the reward, not the strategy.",06/05/2026 6:56,https://www.instagram.com/reel/DZNOW1CuZqL/,IG reel,30105,23325,270,64,39,8,51
17999121911949896,"If you have no money, you should have no shame.

Knock.

Call.

Email.

Text.

DM.

Ask.

Life-changing doors don’t open themselves.",06/05/2026 6:49,https://www.instagram.com/reel/DZNNs3ROHYX/,IG reel,4919,3789,38,2,6,1,27
18424084657131869,,06/05/2026 0:01,https://www.instagram.com/p/DZMe9n3lq0n/,IG image,987493,539616,20953,5319,122,145,9550
17890910796487191,"Do the work tired. Do the work nervous. Do the work imperfectly. Do the work even when you don't feel like it.

Because no matter how bad you feel when you start, you know exactly how you'll feel when you finish.",06/04/2026 18:58,https://www.instagram.com/p/DZL8S6flGel/,IG carousel,2236345,1134414,54899,8381,639,326,13333
18333225466249423,13 years of business advice in 60 seconds,06/04/2026 18:16,https://www.instagram.com/reel/DZL3PYSuGT1/,IG reel,1330999,884633,49737,23557,3584,509,52028
